lessons_completed,quiz_score,progress,time_spent,skill_level,next_lesson,recommendation
4,49,71,29,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,86,72,251,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
1,16,28,56,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,62,15,169,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
4,78,88,147,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
1,0,13,283,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,12,43,122,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,41,89,103,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,32,51,218,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
3,91,64,273,Advanced,4,Next: Lesson 4 - Blending Techniques
5,74,100,176,Intermediate,5,Course Complete! Try another course.
2,63,30,262,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
5,16,100,82,Beginner,4,Revisit Lesson 4 - Blending Techniques
3,52,54,136,Intermediate,4,Next: Lesson 4 - Blending Techniques
3,80,69,300,Advanced,4,Next: Lesson 4 - Blending Techniques
1,69,25,20,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
0,26,-2,64,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
0,42,-3,165,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
5,43,100,104,Beginner,4,Revisit Lesson 4 - Blending Techniques
5,67,90,243,Intermediate,5,Course Complete! Try another course.
4,54,75,237,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
0,40,5,204,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,90,15,140,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
0,100,-5,136,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
1,75,25,31,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
2,78,49,297,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
0,28,-6,245,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
0,8,-7,297,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,85,13,209,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
0,48,6,180,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
0,5,-2,50,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
4,66,77,35,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
2,100,42,129,Advanced,4,Next: Lesson 4 - Blending Techniques
4,7,83,111,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
0,27,3,205,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
0,45,2,132,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
4,39,82,179,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,65,81,186,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
1,8,18,57,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,94,100,15,Advanced,5,Course Complete! Try another course.
5,82,100,238,Advanced,5,Course Complete! Try another course.
0,29,1,169,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
5,11,95,264,Beginner,4,Revisit Lesson 4 - Blending Techniques
4,89,72,184,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
3,79,58,162,Intermediate,4,Next: Lesson 4 - Blending Techniques
1,22,24,138,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,97,-9,45,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
5,45,96,14,Beginner,4,Revisit Lesson 4 - Blending Techniques
0,14,-8,103,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
4,20,90,28,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
2,99,48,243,Advanced,4,Next: Lesson 4 - Blending Techniques
3,48,54,131,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
4,24,78,57,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
0,4,-4,10,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
4,93,79,132,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
0,79,-10,252,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,51,28,21,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
5,32,100,287,Beginner,4,Revisit Lesson 4 - Blending Techniques
1,94,25,81,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
0,53,9,298,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
5,3,94,131,Beginner,4,Revisit Lesson 4 - Blending Techniques
4,6,84,143,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
2,84,35,225,Advanced,4,Next: Lesson 4 - Blending Techniques
1,78,13,98,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
1,55,24,118,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
3,29,53,132,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
0,68,-4,208,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
2,56,44,273,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
2,39,50,33,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,14,100,117,Beginner,4,Revisit Lesson 4 - Blending Techniques
3,39,52,19,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
2,3,42,251,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,63,27,104,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
3,82,50,146,Advanced,4,Next: Lesson 4 - Blending Techniques
0,62,5,272,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
2,23,50,273,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,73,51,75,Intermediate,4,Next: Lesson 4 - Blending Techniques
2,72,30,146,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
3,84,70,182,Advanced,4,Next: Lesson 4 - Blending Techniques
2,55,49,250,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
5,61,100,124,Intermediate,5,Course Complete! Try another course.
0,89,2,48,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
2,39,35,257,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,85,73,183,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
1,15,18,162,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,36,88,216,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
1,88,10,287,Advanced,3,Next: Lesson 3 - The Perfume Pyramid
2,100,37,268,Advanced,4,Next: Lesson 4 - Blending Techniques
3,47,64,89,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
2,55,47,68,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
4,40,83,71,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
0,71,-7,133,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
2,42,35,267,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,46,77,246,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
0,75,4,192,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,40,18,95,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
2,47,40,31,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,4,8,273,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
4,89,86,11,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
5,89,95,183,Advanced,5,Course Complete! Try another course.
2,5,30,30,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,60,-10,11,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
3,100,57,19,Advanced,4,Next: Lesson 4 - Blending Techniques
4,100,77,15,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
4,70,82,281,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
4,83,82,259,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
2,12,40,113,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,19,80,107,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
4,8,90,246,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
0,24,2,255,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
2,33,49,43,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
5,18,100,150,Beginner,4,Revisit Lesson 4 - Blending Techniques
1,50,27,25,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
5,25,92,130,Beginner,4,Revisit Lesson 4 - Blending Techniques
4,85,73,299,Advanced,5,Next: Lesson 5 - Quality Control & Finishing
2,22,32,200,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,53,81,22,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
2,89,33,149,Advanced,4,Next: Lesson 4 - Blending Techniques
3,35,69,183,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
5,56,100,268,Intermediate,5,Course Complete! Try another course.
2,98,48,248,Advanced,4,Next: Lesson 4 - Blending Techniques
4,40,86,272,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,82,59,154,Advanced,4,Next: Lesson 4 - Blending Techniques
0,69,4,55,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
4,75,88,295,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
5,74,100,297,Intermediate,5,Course Complete! Try another course.
0,38,6,167,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,68,27,26,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
1,49,18,289,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,99,58,32,Advanced,4,Next: Lesson 4 - Blending Techniques
2,89,40,48,Advanced,4,Next: Lesson 4 - Blending Techniques
1,39,20,197,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,28,0,261,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
0,91,-1,58,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
0,76,5,226,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
5,97,100,98,Advanced,5,Course Complete! Try another course.
3,99,51,118,Advanced,4,Next: Lesson 4 - Blending Techniques
4,53,73,229,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
1,23,21,47,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,51,68,75,Intermediate,4,Next: Lesson 4 - Blending Techniques
2,68,36,66,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
4,58,81,114,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
3,84,54,170,Advanced,4,Next: Lesson 4 - Blending Techniques
0,22,0,111,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
0,44,-3,29,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
4,16,83,29,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,94,67,124,Advanced,4,Next: Lesson 4 - Blending Techniques
5,25,91,59,Beginner,4,Revisit Lesson 4 - Blending Techniques
2,51,47,287,Intermediate,3,Next: Lesson 3 - The Perfume Pyramid
5,97,95,186,Advanced,5,Course Complete! Try another course.
0,52,10,117,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
0,44,-3,290,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
0,76,7,17,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,65,19,163,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
3,97,57,146,Advanced,4,Next: Lesson 4 - Blending Techniques
0,93,10,173,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
3,11,67,30,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
0,74,1,106,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
1,7,25,97,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
1,74,18,155,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
5,18,100,250,Beginner,4,Revisit Lesson 4 - Blending Techniques
5,14,98,105,Beginner,4,Revisit Lesson 4 - Blending Techniques
1,19,17,268,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,31,2,215,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,8,27,203,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
4,24,84,143,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
0,51,0,165,Intermediate,1,Next: Lesson 1 - Introduction to Perfumery
4,55,90,217,Intermediate,5,Next: Lesson 5 - Quality Control & Finishing
0,37,10,16,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
2,98,31,150,Advanced,4,Next: Lesson 4 - Blending Techniques
3,83,61,232,Advanced,4,Next: Lesson 4 - Blending Techniques
1,14,18,187,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,34,2,129,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,74,21,209,Intermediate,2,Next: Lesson 2 - Perfume Raw Materials
0,83,-3,231,Advanced,2,Next: Lesson 2 - Perfume Raw Materials
3,8,52,281,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
3,15,70,152,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
2,96,34,85,Advanced,4,Next: Lesson 4 - Blending Techniques
2,21,44,218,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,47,61,293,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
2,14,46,280,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
3,83,56,240,Advanced,4,Next: Lesson 4 - Blending Techniques
4,1,82,218,Beginner,3,Revisit Lesson 3 - The Perfume Pyramid
3,18,64,272,Beginner,2,Revisit Lesson 2 - Perfume Raw Materials
2,32,39,83,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
0,39,-3,124,Beginner,1,Next: Lesson 1 - Introduction to Perfumery
1,43,28,114,Beginner,1,Revisit Lesson 1 - Introduction to Perfumery
